k,silhouette,bic,aic
2,0.018902743444032154,-16455.036052887717,-16750.016430170683
3,0.11356243331958271,-17260.959881966206,-17706.112087684138
4,0.02674127518070192,-17371.839160451826,-17967.163194604724
5,0.09410074550415377,-17473.70260571541,-18219.19846830327
6,0.003111425101925847,-17733.47410111248,-18629.141792135306
7,-0.08094656883343573,-17767.738414232423,-18813.577933690216
8,0.023591278110691002,-17544.872919568785,-18740.88426746154
