date,transition,asset,pre_cum_ret,post_cum_ret
2001-01-05,1 -> 0,铜,0.0054,-0.0558
2001-01-05,1 -> 0,原油,0.0,0.0
2001-01-05,1 -> 0,煤炭,0.0,0.0
2001-03-30,0 -> 1,黄金,-0.0049,0.099
2001-03-30,0 -> 1,白银,-0.0964,0.0484
2001-03-30,0 -> 1,铜,-0.0643,0.0019
2001-03-30,0 -> 1,原油,0.0,0.0
2001-03-30,0 -> 1,煤炭,0.0,0.0
2002-04-05,1 -> 0,黄金,0.058,0.0588
2002-04-05,1 -> 0,白银,0.0778,0.0465
2002-04-05,1 -> 0,铜,0.0308,-0.0403
2002-04-05,1 -> 0,原油,0.0,0.0
2002-04-05,1 -> 0,煤炭,0.0,0.0
2003-05-23,0 -> 1,黄金,0.088,-0.0279
2003-05-23,0 -> 1,白银,0.1003,0.0033
2003-05-23,0 -> 1,铜,-0.0225,0.0243
2003-05-23,0 -> 1,原油,0.0,0.0
2003-05-23,0 -> 1,煤炭,0.0,0.0
2003-07-25,1 -> 0,黄金,-0.0586,0.0824
2003-07-25,1 -> 0,白银,0.0183,0.1006
2003-07-25,1 -> 0,铜,0.0261,0.0368
2003-07-25,1 -> 0,原油,0.0,0.0
2003-07-25,1 -> 0,煤炭,0.0,0.0
2004-08-27,0 -> 1,黄金,0.0256,0.0133
2004-08-27,0 -> 1,白银,0.121,0.0328
2004-08-27,0 -> 1,铜,0.0467,0.0336
2004-08-27,0 -> 1,原油,0.0,0.0
2004-08-27,0 -> 1,煤炭,0.0,0.0
2004-09-03,1 -> 0,黄金,0.0126,0.0528
2004-09-03,1 -> 0,白银,0.0984,0.1102
2004-09-03,1 -> 0,铜,0.0324,0.0365
2004-09-03,1 -> 0,原油,0.0,0.0
2004-09-03,1 -> 0,煤炭,0.0,0.0
2004-10-01,0 -> 1,黄金,0.0437,0.0948
2004-10-01,0 -> 1,白银,-0.0221,0.1861
2004-10-01,0 -> 1,铜,0.0378,0.0549
2004-10-01,0 -> 1,原油,0.0,0.0
2004-10-01,0 -> 1,煤炭,0.0,0.0
2004-11-05,1 -> 0,黄金,0.0699,0.0313
2004-11-05,1 -> 0,白银,0.1128,-0.0561
2004-11-05,1 -> 0,铜,0.0791,0.0636
2004-11-05,1 -> 0,原油,0.0,0.0
2004-11-05,1 -> 0,煤炭,0.0,0.0
2005-02-25,0 -> 1,黄金,-0.0335,-0.0052
2005-02-25,0 -> 1,白银,0.077,-0.0533
2005-02-25,0 -> 1,铜,0.0457,-0.0286
2005-02-25,0 -> 1,原油,0.0,0.0
