cluster,name,mom_weight,ic_weight,weeks,ann_return,ann_vol,sharpe,max_dd
2,停滞横盘期,0.95,0.05,213,0.11030453919722327,0.2216876185173302,0.49756743265569575,-0.44408983721705875
3,温和复苏期,0.95,0.05,421,0.03329655660244368,0.21893139595998265,0.15208671399752,-0.34163956240410176
4,加息紧缩期,0.95,0.05,172,-0.06561025920796959,0.17915524668782884,-0.3662201382373856,-0.35888694779371233
5,衰退/通缩/避险,0.95,0.05,168,-0.01079114845274498,0.209140280668402,-0.051597656932739135,-0.32291889024685205
0,工业金属/能源牛市,1.0,0.0,258,-0.001418997305372094,0.2451970192648928,-0.005787171922506586,-0.4029610159998863
1,大宗全面牛市,1.0,0.0,342,0.254332041743067,0.24465512305471357,1.0395533049442391,-0.2671788257024862
2,停滞横盘期,1.0,0.0,213,0.09999315779900075,0.22428816553415235,0.4458244935075489,-0.4606900491743934
3,温和复苏期,1.0,0.0,421,0.025598368914041547,0.22016280808262778,0.11627017813305869,-0.3492784852543219
4,加息紧缩期,1.0,0.0,172,-0.07949214577863029,0.1801482517936608,-0.44125960139585163,-0.36832197541068745
5,衰退/通缩/避险,1.0,0.0,168,-0.018577826374752915,0.20893437887792965,-0.0889170392853684,-0.32201994582746807
