k,silhouette,inertia
2,0.28394264309320605,8845.043830270577
3,0.25061003383058994,7297.1039080606515
4,0.24347717685007408,6218.412221032966
5,0.2517346642205927,5354.108911882267
6,0.24970812813690563,4811.618532037452
7,0.25308364003965567,4299.113636153881
8,0.2452759518558532,3962.971739598064
