cluster,pmi_level,pmi_delta,ppi_level,ppi_delta,vix_level,dxy_level
0,0.8817737496683588,0.39834470797370847,0.8724006246832624,0.3951100734012352,-0.167745720380966,-0.13215842935590427
1,0.14561550121996367,-0.08116619513035936,0.25092248786154064,-0.07739227431379969,-0.2408448747732301,-0.02621632697232796
2,0.10357779783673626,-0.6294675391193669,0.09858375939037888,-0.6176796183825306,1.4455894356920158,0.20511495188688927
3,0.0260046969306104,-0.6116267827872466,0.7066821088189645,0.27186933316758977,1.3598159324745005,1.8477214412375529
4,-0.23122722173005317,0.014571652379476304,-0.23433723578533833,0.016946264019332174,-0.548711094455726,-0.061283072225283494
5,-0.7986647634301203,-0.47520794889719536,-1.0106346805671613,-1.2470729453277032,0.9582350732222544,1.0373513896122935
6,-1.4555667324768353,-0.37947128035894007,-1.4517871081862113,-0.37133731746793364,0.12192824663674173,0.06512652418324262
