k,silhouette,inertia
2,0.29679199756932323,6309.738865756934
3,0.26952493935015154,5253.098194049926
4,0.23637483026348816,4638.798844920825
5,0.2482919522908985,4105.459136395036
6,0.23639310242706457,3684.5995286987772
7,0.2290357020765415,3367.9661177686376
8,0.24549457499800445,3067.193149511889
