date,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6
1996-03-15,7.050751594775375e-07,4.219663273660414e-241,0.0832812811644333,3.0963948378984337e-116,0.9118221104470323,6.197311933432315e-68,0.004895903313375095
1996-03-22,7.050751594775375e-07,4.219663273660414e-241,0.0832812811644333,3.0963948378984337e-116,0.9118221104470323,6.197311933432315e-68,0.004895903313375095
1996-03-29,7.050751594775375e-07,4.219663273660414e-241,0.0832812811644333,3.0963948378984337e-116,0.9118221104470323,6.197311933432315e-68,0.004895903313375095
1996-04-05,7.050751594775375e-07,4.219663273660414e-241,0.0832812811644333,3.0963948378984337e-116,0.9118221104470323,6.197311933432315e-68,0.004895903313375095
1996-04-12,7.050751594775375e-07,4.219663273660414e-241,0.0832812811644333,3.0963948378984337e-116,0.9118221104470323,6.197311933432315e-68,0.004895903313375095
1996-04-19,7.050751594775375e-07,4.219663273660414e-241,0.0832812811644333,3.0963948378984337e-116,0.9118221104470323,6.197311933432315e-68,0.004895903313375095
1996-04-26,7.050751594775375e-07,4.219663273660414e-241,0.0832812811644333,3.0963948378984337e-116,0.9118221104470323,6.197311933432315e-68,0.004895903313375095
1996-05-03,7.050751594775375e-07,4.219663273660414e-241,0.0832812811644333,3.0963948378984337e-116,0.9118221104470323,6.197311933432315e-68,0.004895903313375095
1996-05-10,7.050751594775375e-07,4.219663273660414e-241,0.0832812811644333,3.0963948378984337e-116,0.9118221104470323,6.197311933432315e-68,0.004895903313375095
1996-05-17,7.050751594775375e-07,4.219663273660414e-241,0.0832812811644333,3.0963948378984337e-116,0.9118221104470323,6.197311933432315e-68,0.004895903313375095
1996-05-24,7.050751594775375e-07,4.219663273660414e-241,0.0832812811644333,3.0963948378984337e-116,0.9118221104470323,6.197311933432315e-68,0.004895903313375095
1996-05-31,7.050751594775375e-07,4.219663273660414e-241,0.0832812811644333,3.0963948378984337e-116,0.9118221104470323,6.197311933432315e-68,0.004895903313375095
1996-06-07,7.050751594775375e-07,4.219663273660414e-241,0.0832812811644333,3.0963948378984337e-116,0.9118221104470323,6.197311933432315e-68,0.004895903313375095
1996-06-14,7.050751594775375e-07,4.219663273660414e-241,0.0832812811644333,3.0963948378984337e-116,0.9118221104470323,6.197311933432315e-68,0.004895903313375095
1996-06-21,7.050751594775375e-07,4.219663273660414e-241,0.0832812811644333,3.0963948378984337e-116,0.9118221104470323,6.197311933432315e-68,0.004895903313375095
